major,minor,pathway,n_expand,n_contract,path_ortho,total_expansion,total_contraction,total_ortho,expansion_estimate,expansion_p.value,expansion_conf.low,expansion_conf.high,contraction_estimate,contraction_p.value,contraction_conf.low,contraction_conf.high,expansion_fdr,contraction_fdr,overrep_direction
Organismal Systems,Digestive system,Salivary secretion (map04970),1,3,23,61,56,2084,1.5155113811837153,0.4968976327169672,0.0732676945952893,Inf,5.67288038382608,0.02223951587363003,1.3936083567447504,Inf,1,0.4302548047734492,contraction
Organismal Systems,Immune system,Antigen processing and presentation (map04612),0,2,13,61,56,2084,0,1,0,Inf,6.7752153494870395,0.04576362038705334,1.0520141667965752,Inf,1,0.47657375963539933,contraction
Organismal Systems,Immune system,Complement and coagulation cascades (map04610),3,2,12,61,56,2084,11.5349775196452,0.004349833618210841,2.615868948890342,Inf,7.45628588323809,0.03939129524722607,1.14564851568451,Inf,0.1963639176220894,0.47657375963539933,contraction
Organismal Systems,Immune system,Hematopoietic cell lineage (map04640),2,2,8,61,56,2084,11.350192485182763,0.021067456054881153,1.6259492902806751,Inf,12.429910944406545,0.017901277671976426,1.7772211772685305,Inf,0.554776342778537,0.40405741031032505,contraction
Organismal Systems,Immune system,Leukocyte transendothelial migration (map04670),1,3,16,61,56,2084,2.229910068832893,0.3793985005599453,0.10574166243501743,Inf,8.74744092950481,0.008031589749571655,2.0709989286422585,Inf,1,0.40405741031032505,contraction
Organismal Systems,Immune system,NOD-like receptor signaling pathway (map04621),3,4,40,61,56,2084,2.774124715655558,0.10981648073667384,0.7061236911452774,Inf,4.25079590425125,0.02083421596789994,1.3376453723263506,Inf,1,0.4302548047734492,contraction
Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity (map04650),0,3,21,61,56,2084,0,1,0,Inf,6.307072435597386,0.017346104419362813,1.537611301281186,Inf,1,0.40405741031032505,contraction
Organismal Systems,Immune system,Neutrophil extracellular trap formation (map04613),0,5,28,61,56,2084,0,1,0,Inf,8.522220662434863,7.168959825039209e-4,2.9829379481360316,Inf,1,0.22653913047123903,contraction
Organismal Systems,Nervous system,Synaptic vesicle cycle (map04721),1,3,28,61,56,2084,1.2319609561023703,0.5671354546942853,0.06002192593793332,Inf,4.5281727431130445,0.037436986065064126,1.1284598041779788,Inf,1,0.47320350386241056,contraction
Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels (map04750),3,1,17,61,56,2084,7.405346215340869,0.012112714840180033,1.7699266072461237,Inf,2.284938664149424,0.37178660986262535,0.10861713981178993,Inf,0.37166283589375715,0.8332238916070186,expansion
Organismal Systems,Sensory system,Taste transduction (map04742),4,2,14,61,56,2084,14.06315811312166,5.343516513242029e-4,3.9732337403178413,Inf,6.208821545759115,0.052486972129022154,0.9724608900809637,Inf,0.04221378045461203,0.47657375963539933,expansion
